Collection_Date,Species,Host
03/25/22,Cx. pipiens,Northern Cardinal
04/15/22,Cx. pipiens,American Robin
04/15/22,Cx. pipiens,Blue Jay
04/15/22,Cx. pipiens,Brown-headed Cowbird
04/15/22,Cx. restuans,Northern Cardinal
04/20/22,Cx. restuans,Northern Cardinal
04/21/22,Cx. pipiens,House Sparrow
04/28/22,Cx. restuans,Northern Cardinal
04/27/22,Cx. restuans,Common Starling
04/28/22,Cx. restuans,Gray Catbird
04/28/22,Cx. restuans,American Robin
04/28/22,Cx. restuans,Northern Cardinal
04/28/22,Cx. restuans,Northern Cardinal
05/02/22,Cx. restuans,Northern Cardinal
05/02/22,Cx. restuans,Northern Cardinal
05/04/22,Cx. restuans,Northern Cardinal
05/04/22,Cx. restuans,American Robin
05/04/22,Cx. restuans,American Robin
05/04/22,Cx. restuans,Northern Cardinal
05/04/22,Cx. restuans,American Robin
05/10/22,Cx. restuans,American Robin
05/12/22,Cx. restuans,Northern Cardinal
05/12/22,Cx. restuans,Northern Cardinal
05/12/22,Cx. restuans,Northern Cardinal
05/12/22,Cx. restuans,Northern Cardinal
06/06/21,Cx. restuans,Blue Jay
06/07/21,Cx. restuans,Gray Catbird
06/07/21,Cx. pipiens,American Robin
07/07/21,Cx. pipiens,American Robin
07/07/21,Cx. pipiens,House Finch
07/07/21,Cx. pipiens,House Wren
07/07/21,Cx. pipiens,American Robin
07/07/21,Cx. pipiens,Northern Cardinal
07/07/21,Cx. pipiens,Northern Cardinal
07/07/21,Cx. pipiens,American Robin
07/07/21,Cx. pipiens,American Robin
06/07/21,Cx. pipiens,House Sparrow
06/22/21,Cx. restuans,American Robin
06/02/21,Cx. restuans,Common Grackle
06/14/21,Cx. restuans,American Robin
06/14/21,Cx. pipiens,House Sparrow
06/14/21,Cx. pipiens,Mourning Dove
06/14/21,Cx. pipiens,American Robin
06/14/21,Cx. pipiens,House Sparrow
06/14/21,Cx. pipiens,Northern Cardinal
06/14/21,Cx. pipiens,American Robin
06/14/21,Cx. pipiens,American Robin
06/14/21,Cx. pipiens,American Robin
06/14/21,Cx. pipiens,Northern Cardinal
06/14/21,Cx. pipiens,House Wren
06/14/21,Cx. restuans,American Robin
06/14/21,Cx. pipiens,Chipping Sparrow
06/14/21,Cx. restuans,American Robin
06/14/21,Cx. restuans,American Robin
06/14/21,Cx. pipiens,American Robin
06/14/21,Cx. pipiens,American Robin
06/14/21,Cx. pipiens,American Robin
06/14/21,Cx. pipiens,Common Grackle
06/14/21,Cx. pipiens,American Robin
06/21/21,Cx. pipiens,American Robin
06/21/21,Cx. pipiens,Mourning Dove
06/21/21,Cx. pipiens,American Robin
06/21/21,Cx. pipiens,American Robin
06/21/21,Cx. pipiens,Common Starling
06/14/21,Cx. restuans,American Robin
06/14/21,Cx. restuans,American Robin
06/21/21,Cx. restuans,House Sparrow
06/21/21,Cx. pipiens,House Sparrow
06/21/21,Cx. restuans,American Robin
06/21/21,Cx. restuans,Northern Cardinal
06/21/21,Cx. restuans,Northern Cardinal
06/21/21,Cx. pipiens,House Finch
06/28/21,Cx. pipiens,American Robin
06/28/21,Cx. restuans,House Sparrow
06/28/21,Cx. pipiens,Human
06/28/21,Cx. restuans,Northern Cardinal
06/28/21,Cx. pipiens,American Robin
06/28/21,Cx. pipiens,American Robin
06/28/21,Cx. pipiens,House Sparrow
06/28/21,Cx. pipiens,American Robin
06/28/21,Cx. restuans,American Robin
06/28/21,Cx. pipiens,Northern Cardinal
06/28/21,Cx. restuans,American Robin
06/28/21,Cx. pipiens,Northern Cardinal
07/07/21,Cx. pipiens,American Robin
07/07/21,Cx. pipiens,Human
07/07/21,Cx. pipiens,Northern Cardinal
07/07/21,Cx. pipiens,Cedar Waxwing
07/07/21,Cx. pipiens,Northern Cardinal
07/07/21,Cx. pipiens,Northern Cardinal
07/12/21,Cx. pipiens,Northern Cardinal
07/21/21,Cx. pipiens,Northern Cardinal
07/21/21,Cx. pipiens,American Robin
07/12/21,Cx. pipiens,Northern Cardinal
07/12/21,Cx. pipiens,American Robin
07/12/21,Cx. pipiens,Cedar Waxwing
07/12/21,Cx. pipiens,Mourning Dove
07/12/21,Cx. pipiens,Northern Cardinal
07/12/21,Cx. pipiens,Northern Cardinal
08/02/21,Cx. restuans,House Sparrow
08/02/21,Cx. pipiens,House Finch
07/26/21,Cx. pipiens,House Sparrow
07/26/21,Cx. pipiens,House Finch
07/26/21,Cx. pipiens,House Finch
07/26/21,Cx. pipiens,House Sparrow
07/26/21,Cx. pipiens,House Sparrow
07/26/21,Cx. restuans,House Sparrow
07/26/21,Cx. pipiens,Mourning Dove
07/23/21,Cx. restuans,Human
07/19/21,Cx. pipiens,Mourning Dove
07/19/21,Cx. pipiens,House Sparrow
07/19/21,Cx. pipiens,Song Sparrow
07/19/21,Cx. pipiens,Mourning Dove
07/19/21,Cx. restuans,American Robin
07/19/21,Cx. pipiens,House Sparrow
07/19/21,Cx. restuans,Northern Cardinal
05/21/21,Cx. restuans,House Sparrow
05/21/21,Cx. restuans,Carolina Chickadee
05/28/21,Cx. restuans,Common Starling
06/05/21,Cx. restuans,House Finch
06/25/21,Cx. restuans,Brown-headed Cowbird
06/25/21,Cx. restuans,House Sparrow
06/25/21,Cx. restuans,American Robin
07/16/21,Cx. restuans,Northern Cardinal
07/21/21,Cx. pipiens,House Finch
07/21/21,Cx. pipiens,House Sparrow
07/23/21,Cx. restuans,Northern Cardinal
07/23/21,Cx. pipiens,House Sparrow
08/25/21,Cx. restuans,Northern Cardinal
08/25/21,Cx. pipiens,House Sparrow
09/07/21,Cx. erraticus,Mourning Dove
09/09/21,Cx. pipiens,Gray Catbird
09/09/21,Cx. restuans,Gray Catbird
09/20/21,Cx. erraticus,Green Frog
09/20/21,Cx. erraticus,American Robin
09/20/21,Cx. erraticus,White-tailed deer
09/20/21,Cx. erraticus,White-tailed deer
09/20/21,Cx. erraticus,White-tailed deer
10/04/21,Cx. pipiens,House Sparrow
10/15/21,Cx. restuans,Northern Cardinal
10/15/21,Cx. restuans,Northern Cardinal
10/15/21,Cx. restuans,Northern Cardinal
10/15/21,Cx. restuans,Northern Cardinal
11/04/21,Cx. pipiens,Northern Cardinal
